Window_3yr,Month,Value
1999-2001,January,33.068809776833156
1999-2001,February,30.649837133550488
1999-2001,March,32.73402328589909
1999-2001,April,30.67402422611036
1999-2001,May,33.00155319699715
1999-2001,June,35.81699346405229
1999-2001,July,35.23660030627871
1999-2001,August,37.00779482021624
1999-2001,September,36.54441913439636
1999-2001,October,36.29082774049217
1999-2001,November,35.92599053077498
1999-2001,December,34.62871033776868
2002-2004,January,28.33024077755688
2002-2004,February,24.940884476534297
2002-2004,March,26.281646955759964
2002-2004,April,25.718708536045998
2002-2004,May,24.344827586206897
2002-2004,June,25.144829146865806
2002-2004,July,26.24333847170227
2002-2004,August,25.598230088495576
2002-2004,September,26.992812023524287
2002-2004,October,27.428478684267475
2002-2004,November,24.592707870164517
2002-2004,December,25.329049412807446
2005-2007,January,17.263133954969298
2005-2007,February,16.560530679933667
2005-2007,March,17.703206731862632
2005-2007,April,16.173104097974566
2005-2007,May,16.058579335793358
2005-2007,June,16.16171693735499
2005-2007,July,15.974982464344167
2005-2007,August,17.3387839705205
2005-2007,September,18.083177570093458
2005-2007,October,18.9415244596132
2005-2007,November,18.697004344843357
2005-2007,December,18.151674641148325
2008-2010,January,19.10551876379691
2008-2010,February,18.511505588428665
2008-2010,March,18.817013070494966
2008-2010,April,18.13888888888889
2008-2010,May,17.574458874458873
2008-2010,June,18.92843158581684
2008-2010,July,19.373463331920306
2008-2010,August,19.69315009662873
2008-2010,September,21.30994276022896
2008-2010,October,22.165110356536502
2008-2010,November,20.880327163151097
2008-2010,December,20.067305597908952
2011-2013,January,22.21605716687684
2011-2013,February,21.22170509837106
2011-2013,March,22.64782697408692
2011-2013,April,23.07807554336358
2011-2013,May,25.1454358974359
2011-2013,June,25.27119341563786
2011-2013,July,25.670094777172817
2011-2013,August,26.060599959734247
2011-2013,September,28.050328227571114
2011-2013,October,30.545309699263093
2011-2013,November,28.129566094853683
2011-2013,December,26.447786131996658
2014-2016,January,62.8901449987712
2014-2016,February,66.27824578790882
2014-2016,March,63.9543499043977
2014-2016,April,66.15525793650794
2014-2016,May,67.98289763010017
2014-2016,June,79.77498202731847
2014-2016,July,87.96573208722741
2014-2016,August,99.48071856287424
2014-2016,September,105.00606767794632
2014-2016,October,98.22855149965125
2014-2016,November,92.18052542781393
2014-2016,December,75.3446176327326
2017-2019,January,95.04100227790433
2017-2019,February,93.53287197231833
2017-2019,March,104.18706697459584
2017-2019,April,88.80112834978843
2017-2019,May,89.76489028213166
